url,STRING : TITLE,STRING : AUTHOR,STRING : PUBLISHER,STRING : BINDING
book/www.bookfinder4u.com/0002201151.html,Collins Ramblers' Guide - Ben Nevis & Glen Coe (Collins Ramblers' Guides),Chris Townsend,Publisher: HarperCollins UK - 2000-05-01,Format: Paperback
book/www.bookfinder4u.com/0002201135.html,North Wales (Rambler's Guide),Richard Sale,Publisher: HarperCollins UK - 2000-07-01,Format: Paperback
book/www.bookfinder4u.com/0002201194.html,NRSV Holy Bible: Cross Reference Edition with the Apocrypha/Dueterocanonical Books (Bible Nrsv),HarperCollins UK,Publisher: HarperCollins UK - 2001-11-01,Format: Hardcover
book/www.bookfinder4u.com/0002201690.html,The Millennium Experience,Jim Parton,Publisher: HarperCollinsIllustrated - 2000,Format: Paperback
book/www.bookfinder4u.com/0002200457.html,"Awakening the Mind, Enlightening the Heart",His Holiness the Dalai Lama,Publisher: Thorsons - 1997,Format: Paperback
book/www.bookfinder4u.com/0002200651.html,Self-Esteem Simple Steps to Develop Self-Worth and Heal Emotional Wounds (Audio),Gael Lindenfield,Publisher: Thorsons - 2001-04-01,Format: Audio Cassette
book/www.bookfinder4u.com/0001050184.html,"Not a Penny More, Not a Penny Less",Jeffrey Archer,Publisher: Trafalgar Square Computer & Audio - 2000-01,Format: Audio Cassette
book/www.bookfinder4u.com/0001050192.html,Shall We Tell the President?: 6 Days and 13 Hours to Go Before,Jeffrey Archer,Publisher: Trafalgar Square Computer & Audio - 2000-01,Format: Audio Cassette
book/www.bookfinder4u.com/0001050206.html,A Twist in the Tale: A Perfect Murder and Other Stories (v. 1),Jeffrey Archer,Publisher: Trafalgar Square Computer & Audio - 2000-01,Format: Audio Cassette
book/www.bookfinder4u.com/0001050214.html,A Twist in the Tale: The Loophole and Other Stories,Jeffrey Archer,Publisher: Trafalgar Square Computer & Audio - 2000-01,Format: Audio Cassette
book/www.bookfinder4u.com/0004140524.html,Complete Book of Soft Furnishings,Jane Churchill,Publisher: Trafalgar Square Publishing - 1999-02,Format: Paperback
book/www.bookfinder4u.com/0001052020.html,Lord Jim,Joseph Conrad,Publisher: Trafalgar Square Publishing - 1999-09,Format: Audio Cassette
book/www.bookfinder4u.com/0002201178.html,Birds of South Africa: Collins Illustrated Checklist,Ber Van Perlo,Publisher: Trafalgar Square Publishing - 2000-02,Format: Paperback
book/www.bookfinder4u.com/0002201232.html,How to Identify Butterflies (Britain and Europe),Richard Lewington,Publisher: Trafalgar Square Publishing - 2000-02,Format: Paperback
